[Name],,
BLD GEO HIGH,,
,,
[Data],,
Radius [ m ], theta [ degree ], X [ m ]
0.184471115,0.755579591,0.02467831
0.184832856,1.19984889,0.026417585
0.185179904,1.608278036,0.028121496
0.185499325,1.97513783,0.029743338
0.185787335,2.301765919,0.031267215
0.178824678,-6.695034027,0.000802226
0.1789058,-6.571822166,0.001190048
0.179018945,-6.400797367,0.001728367
0.179162383,-6.184310913,0.002403085
0.179332554,-5.92756176,0.003203157
0.179527104,-5.633891582,0.004104837
0.179761484,-5.309249401,0.00509167
0.18001394,-4.957857132,0.006154404
0.180285946,-4.58632803,0.0072763
0.180571303,-4.198476791,0.008448394
0.180876642,-3.797869921,0.009661058
0.181194916,-3.384022951,0.01091581
0.181536213,-2.958042145,0.012210429
0.181891665,-2.516691446,0.013549263
0.182269678,-2.06455946,0.014954406
0.182669789,-1.605360031,0.016432887
0.183085889,-1.143095136,0.017968461
0.183501989,-0.672662139,0.019548522
0.183886081,-0.191494182,0.021195324
0.184279084,0.286875457,0.022904035
0.184665382,0.750300944,0.024645891
0.185024068,1.194539309,0.026380898
0.185368165,1.603252292,0.028080707
0.18568483,1.970608354,0.029699259
0.185970232,2.297985554,0.03122058
0.179159254,-6.686677933,0.000814014
0.179239377,-6.563691616,0.001201383
0.179351136,-6.393019676,0.001738934
0.179492861,-6.17703867,0.002412556
0.179661006,-5.920924664,0.00321118
0.179853231,-5.628009796,0.004111128
0.180084944,-5.3042202,0.005096072
0.180334508,-4.953743458,0.006156674
0.180603415,-4.583157063,0.007276281
0.180885524,-4.196269512,0.008446014
0.181187481,-3.796632767,0.009656274
0.181502238,-3.383775234,0.010908563
0.181839779,-2.958782673,0.012200529
0.182191357,-2.518489599,0.013536628
0.182565317,-2.067369699,0.014938405
0.182961181,-1.609111309,0.016412947
0.183372855,-1.147729278,0.017944319
0.18378453,-0.678175032,0.01952007
0.184164271,-0.197818369,0.021161824
0.184552863,0.279929459,0.02286488
0.184934765,0.742921054,0.024601109
0.185289234,1.18710196,0.02633024
0.185629219,1.596190691,0.028024396
0.185942039,1.964223504,0.029638391
0.18622385,2.292629957,0.031156177
0.179623082,-6.675197601,0.000830514
0.179701835,-6.552523136,0.001217254
0.179811716,-6.382336617,0.001753741
0.179951027,-6.16705513,0.002425844
0.180116355,-5.911819935,0.00322246
0.180305392,-5.619949818,0.004120008
0.180533379,-5.29734087,0.005102334
0.180778965,-4.948128223,0.006159981
0.181043595,-4.578846931,0.007276414
0.181321248,-4.193293571,0.008442872
0.181618482,-3.794999123,0.009649797
0.181928307,-3.383510351,0.01089867
0.182260707,-2.959885597,0.012186958
0.182606891,-2.521058798,0.013519282
0.182975203,-2.071343422,0.014916411
0.183365151,-1.614393353,0.016385516
0.183770761,-1.154238582,0.017911078
0.184176326,-0.685911059,0.019480901
0.184550077,-0.206680954,0.021115661
0.184932485,0.270194262,0.022810904
0.185308307,0.732577085,0.024539325
0.18565695,1.176647782,0.026260411
0.185991228,1.586223125,0.027946791
0.186298743,1.955172181,0.029554492
0.186575577,2.28498435,0.031067394
0.180266097,-6.659477711,0.000853692
0.180342942,-6.537233353,0.001239561
