R,Rho,Trr,Trt,Trz,Ttt,Tzt,Tzz,Z,Lamda
0.240249723,1.03031659,80178.4688,4.65937281,-5161.82031,79501.3047,-35.6112709,118803.047,-0.000484956894,1
0.24088119,1.03134632,80328.25,4.54498005,-5286.64648,79613.8125,-33.8083611,118693.328,-0.000404880266,1
0.241512135,1.03243625,80486.3359,4.37412262,-5411.66357,79733.0938,-31.6849594,118576.891,-0.000320571038,1
0.242143035,1.03353119,80646.0391,4.18184805,-5535.98926,79852.9141,-29.5219345,118460.484,-0.000236012944,1
0.24277252,1.03463125,80807.2422,3.94908237,-5659.25781,79973.2656,-27.2076912,118345.219,-0.000151662374,1
0.243403077,1.03573823,80974.3516,3.05531931,-5779.79102,80098.7422,-20.7791176,118221.094,-6.44830434e-05,1
0.244033799,1.03685737,81152.625,0.71483922,-5894.79492,80235.0469,-5.45582867,118077.539,2.86355571e-05,1
0.244663119,1.03799486,81338.625,-2.57811379,-6006.04053,80378.5469,15.0897055,117925.063,0.000124828162,1
0.245292783,1.03913748,81526.2656,-6.05544567,-6116.4375,80522.6719,35.7000618,117773.656,0.000221098569,1
0.24592182,1.04028368,81714.8125,-9.59159946,-6225.87207,80666.7344,55.644371,117623.078,0.000317372906,1
0.246549875,1.04160893,81913.4063,-11.2565746,-6336.18018,80818.875,63.9225044,117472.984,0.000416807306,1
0.247176528,1.04318643,82125.7188,-10.1249533,-6448.08398,80982.3359,55.8369675,117323.125,0.000520711241,1
0.247802645,1.04484391,82343.2031,-8.0322237,-6559.78125,81149.4297,42.6889381,117173.969,0.000626035035,1
0.248429567,1.04652834,82564.8438,-6.06619072,-6667.55469,81320.3438,30.8399925,117021.461,0.000734499888,1
0.249057993,1.048262,82793.1875,-4.43037891,-6768.84619,81498.3438,21.2974892,116861.805,0.000848821132,1
0.249685273,1.05002797,83025.9844,-2.9586854,-6865.43066,81680.8281,13.0415363,116698.305,0.000965386687,1
0.250308603,1.05182707,83262.9453,-1.52442324,-6957.72852,81867.3984,5.34420109,116531.914,0.00108097889,1
0.250929594,1.05363476,83501.1094,-0.0174487531,-7045.4209,82055.3281,-2.31357145,116362.742,0.00120096619,1
0.251555026,1.05542409,83737.9219,1.59815979,-7129.46631,82241.9531,-10.1488171,116191.578,0.00132941734,1
0.252182722,1.05688095,83962.7734,3.61484504,-7179.48633,82424.0938,-19.3514481,115891.5,0.001460684,1
0.252806544,1.05079627,83970.0234,7.58597565,-6349.23242,82585.3203,-36.6263962,111656.469,0.00159103097,1
0.25311777,1.04414809,83871,10.3506136,-5510.13086,82657.8594,-48.5510788,107635.164,0.00165613007,1
